"REF_DATE","GEO","DGUID","Age group","Sex","Response","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Total, job satisfaction","Number of persons","Persons","249","thousands","3","v116319031","1.1.2.1.1","7889","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Total, job satisfaction","Percentage of persons","Percent","239","units ","0","v116319032","1.1.2.1.2","100.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Total, job satisfaction","Low 95% confidence interval, percent","Percent","239","units ","0","v116319033","1.1.2.1.3","100.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Total, job satisfaction","High 95% confidence interval, percent","Percent","239","units ","0","v116319034","1.1.2.1.4","100.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very satisfied or satisfied","Number of persons","Persons","249","thousands","3","v116747333","1.1.2.8.1","6530","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very satisfied or satisfied","Percentage of persons","Percent","239","units ","0","v116747334","1.1.2.8.2","82.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very satisfied or satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116747335","1.1.2.8.3","81.1","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very satisfied or satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116747336","1.1.2.8.4","84.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very satisfied","Number of persons","Persons","249","thousands","3","v116319035","1.1.2.2.1","2671","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very satisfied","Percentage of persons","Percent","239","units ","0","v116319036","1.1.2.2.2","33.9","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319037","1.1.2.2.3","32.1","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319038","1.1.2.2.4","35.7","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Satisfied","Number of persons","Persons","249","thousands","3","v116319039","1.1.2.3.1","3858","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Satisfied","Percentage of persons","Percent","239","units ","0","v116319040","1.1.2.3.2","48.9","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319041","1.1.2.3.3","46.9","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319042","1.1.2.3.4","50.9","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Neither satisfied nor dissatisfied","Number of persons","Persons","249","thousands","3","v116319043","1.1.2.4.1","805","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Neither satisfied nor dissatisfied","Percentage of persons","Percent","239","units ","0","v116319044","1.1.2.4.2","10.2","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Neither satisfied nor dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319045","1.1.2.4.3","8.9","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Neither satisfied nor dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319046","1.1.2.4.4","11.6","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Dissatisfied or very dissatisfied","Number of persons","Persons","249","thousands","3","v116747337","1.1.2.9.1","484","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Dissatisfied or very dissatisfied","Percentage of persons","Percent","239","units ","0","v116747338","1.1.2.9.2","6.1","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Dissatisfied or very dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116747339","1.1.2.9.3","5.2","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Dissatisfied or very dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116747340","1.1.2.9.4","7.2","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Dissatisfied","Number of persons","Persons","249","thousands","3","v116319047","1.1.2.5.1","359","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Dissatisfied","Percentage of persons","Percent","239","units ","0","v116319048","1.1.2.5.2","4.5","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319049","1.1.2.5.3","3.7","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319050","1.1.2.5.4","5.5","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very dissatisfied","Number of persons","Persons","249","thousands","3","v116319051","1.1.2.6.1","126","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very dissatisfied","Percentage of persons","Percent","239","units ","0","v116319052","1.1.2.6.2","1.6","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319053","1.1.2.6.3","1.2","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Very dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319054","1.1.2.6.4","2.1","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Don't know/refusal/not stated","Number of persons","Persons","249","thousands","3","v116319055","1.1.2.7.1","70","E","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Don't know/refusal/not stated","Percentage of persons","Percent","239","units ","0","v116319056","1.1.2.7.2","0.9","E","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Don't know/refusal/not stated","Low 95% confidence interval, percent","Percent","239","units ","0","v116319057","1.1.2.7.3","0.6","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Male","Don't know/refusal/not stated","High 95% confidence interval, percent","Percent","239","units ","0","v116319058","1.1.2.7.4","1.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Total, job satisfaction","Number of persons","Persons","249","thousands","3","v116319059","1.1.3.1.1","7278","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Total, job satisfaction","Percentage of persons","Percent","239","units ","0","v116319060","1.1.3.1.2","100.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Total, job satisfaction","Low 95% confidence interval, percent","Percent","239","units ","0","v116319061","1.1.3.1.3","100.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Total, job satisfaction","High 95% confidence interval, percent","Percent","239","units ","0","v116319062","1.1.3.1.4","100.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very satisfied or satisfied","Number of persons","Persons","249","thousands","3","v116747341","1.1.3.8.1","6201","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very satisfied or satisfied","Percentage of persons","Percent","239","units ","0","v116747342","1.1.3.8.2","85.2","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very satisfied or satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116747343","1.1.3.8.3","83.6","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very satisfied or satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116747344","1.1.3.8.4","86.6","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very satisfied","Number of persons","Persons","249","thousands","3","v116319063","1.1.3.2.1","2509","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very satisfied","Percentage of persons","Percent","239","units ","0","v116319064","1.1.3.2.2","34.5","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319065","1.1.3.2.3","32.6","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319066","1.1.3.2.4","36.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Satisfied","Number of persons","Persons","249","thousands","3","v116319067","1.1.3.3.1","3691","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Satisfied","Percentage of persons","Percent","239","units ","0","v116319068","1.1.3.3.2","50.7","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319069","1.1.3.3.3","48.7","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319070","1.1.3.3.4","52.7","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Neither satisfied nor dissatisfied","Number of persons","Persons","249","thousands","3","v116319071","1.1.3.4.1","605","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Neither satisfied nor dissatisfied","Percentage of persons","Percent","239","units ","0","v116319072","1.1.3.4.2","8.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Neither satisfied nor dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319073","1.1.3.4.3","7.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Neither satisfied nor dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319074","1.1.3.4.4","9.5","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Dissatisfied or very dissatisfied","Number of persons","Persons","249","thousands","3","v116747345","1.1.3.9.1","388","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Dissatisfied or very dissatisfied","Percentage of persons","Percent","239","units ","0","v116747346","1.1.3.9.2","5.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Dissatisfied or very dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116747347","1.1.3.9.3","4.5","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Dissatisfied or very dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116747348","1.1.3.9.4","6.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Dissatisfied","Number of persons","Persons","249","thousands","3","v116319075","1.1.3.5.1","305","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Dissatisfied","Percentage of persons","Percent","239","units ","0","v116319076","1.1.3.5.2","4.2","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319077","1.1.3.5.3","3.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319078","1.1.3.5.4","5.1","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very dissatisfied","Number of persons","Persons","249","thousands","3","v116319079","1.1.3.6.1","83","E","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very dissatisfied","Percentage of persons","Percent","239","units ","0","v116319080","1.1.3.6.2","1.1","E","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319081","1.1.3.6.3","0.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Very dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319082","1.1.3.6.4","1.6","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Don't know/refusal/not stated","Number of persons","Persons","249","thousands","3","v116319083","1.1.3.7.1","84","E","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Don't know/refusal/not stated","Percentage of persons","Percent","239","units ","0","v116319084","1.1.3.7.2","1.2","E","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Don't know/refusal/not stated","Low 95% confidence interval, percent","Percent","239","units ","0","v116319085","1.1.3.7.3","0.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Female","Don't know/refusal/not stated","High 95% confidence interval, percent","Percent","239","units ","0","v116319086","1.1.3.7.4","1.7","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Total, job satisfaction","Number of persons","Persons","249","thousands","3","v116319087","1.2.1.1.1","2000","","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Total, job satisfaction","Percentage of persons","Percent","239","units ","0","v116319088","1.2.1.1.2","100.0","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Total, job satisfaction","Low 95% confidence interval, percent","Percent","239","units ","0","v116319089","1.2.1.1.3","100.0","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Total, job satisfaction","High 95% confidence interval, percent","Percent","239","units ","0","v116319090","1.2.1.1.4","100.0","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very satisfied or satisfied","Number of persons","Persons","249","thousands","3","v116747349","1.2.1.8.1","1557","","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very satisfied or satisfied","Percentage of persons","Percent","239","units ","0","v116747350","1.2.1.8.2","77.9","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very satisfied or satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116747351","1.2.1.8.3","73.4","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very satisfied or satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116747352","1.2.1.8.4","81.8","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very satisfied","Number of persons","Persons","249","thousands","3","v116319091","1.2.1.2.1","494","","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very satisfied","Percentage of persons","Percent","239","units ","0","v116319092","1.2.1.2.2","24.7","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319093","1.2.1.2.3","20.9","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319094","1.2.1.2.4","29.0","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Satisfied","Number of persons","Persons","249","thousands","3","v116319095","1.2.1.3.1","1063","","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Satisfied","Percentage of persons","Percent","239","units ","0","v116319096","1.2.1.3.2","53.2","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319097","1.2.1.3.3","48.1","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319098","1.2.1.3.4","58.1","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Neither satisfied nor dissatisfied","Number of persons","Persons","249","thousands","3","v116319099","1.2.1.4.1","297","","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Neither satisfied nor dissatisfied","Percentage of persons","Percent","239","units ","0","v116319100","1.2.1.4.2","14.8","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Neither satisfied nor dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319101","1.2.1.4.3","11.5","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Neither satisfied nor dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319102","1.2.1.4.4","18.9","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Dissatisfied or very dissatisfied","Number of persons","Persons","249","thousands","3","v116747353","1.2.1.9.1","123","E","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Dissatisfied or very dissatisfied","Percentage of persons","Percent","239","units ","0","v116747354","1.2.1.9.2","6.1","E","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Dissatisfied or very dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116747355","1.2.1.9.3","4.1","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Dissatisfied or very dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116747356","1.2.1.9.4","9.0","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Dissatisfied","Number of persons","Persons","249","thousands","3","v116319103","1.2.1.5.1","89","E","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Dissatisfied","Percentage of persons","Percent","239","units ","0","v116319104","1.2.1.5.2","4.5","E","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319105","1.2.1.5.3","2.8","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319106","1.2.1.5.4","7.2","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very dissatisfied","Number of persons","Persons","249","thousands","3","v116319107","1.2.1.6.1","","F","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very dissatisfied","Percentage of persons","Percent","239","units ","0","v116319108","1.2.1.6.2","","F","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319109","1.2.1.6.3","","F","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Very dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319110","1.2.1.6.4","","F","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Don't know/refusal/not stated","Number of persons","Persons","249","thousands","3","v116319111","1.2.1.7.1","","F","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Don't know/refusal/not stated","Percentage of persons","Percent","239","units ","0","v116319112","1.2.1.7.2","","F","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Don't know/refusal/not stated","Low 95% confidence interval, percent","Percent","239","units ","0","v116319113","1.2.1.7.3","","F","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Both sexes","Don't know/refusal/not stated","High 95% confidence interval, percent","Percent","239","units ","0","v116319114","1.2.1.7.4","","F","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Total, job satisfaction","Number of persons","Persons","249","thousands","3","v116319115","1.2.2.1.1","982","","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Male","Total, job satisfaction","Percentage of persons","Percent","239","units ","0","v116319116","1.2.2.1.2","100.0","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Total, job satisfaction","Low 95% confidence interval, percent","Percent","239","units ","0","v116319117","1.2.2.1.3","100.0","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Total, job satisfaction","High 95% confidence interval, percent","Percent","239","units ","0","v116319118","1.2.2.1.4","100.0","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Very satisfied or satisfied","Number of persons","Persons","249","thousands","3","v116747357","1.2.2.8.1","747","","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Male","Very satisfied or satisfied","Percentage of persons","Percent","239","units ","0","v116747358","1.2.2.8.2","76.1","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Very satisfied or satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116747359","1.2.2.8.3","69.3","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Very satisfied or satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116747360","1.2.2.8.4","81.8","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Very satisfied","Number of persons","Persons","249","thousands","3","v116319119","1.2.2.2.1","244","","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Male","Very satisfied","Percentage of persons","Percent","239","units ","0","v116319120","1.2.2.2.2","24.9","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Very satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319121","1.2.2.2.3","19.4","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Very satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319122","1.2.2.2.4","31.3","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Satisfied","Number of persons","Persons","249","thousands","3","v116319123","1.2.2.3.1","503","","","","0"
"2016","Canada","2016A000011124","15 to 24 years","Male","Satisfied","Percentage of persons","Percent","239","units ","0","v116319124","1.2.2.3.2","51.2","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319125","1.2.2.3.3","44.1","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319126","1.2.2.3.4","58.3","","","","1"
"2016","Canada","2016A000011124","15 to 24 years","Male","Neither satisfied nor dissatisfied","Number of persons","Persons","249","thousands","3","v116319127","1.2.2.4.1","156","E","","","0"
