COORDINATE,GEO,Age group,Sex,Response,Estimates,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
1.1.1.7.1,Canada,"Total, 15 years and over",Both sexes,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116319027,154.0,
1.1.1.7.2,Canada,"Total, 15 years and over",Both sexes,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116319028,1.0,
1.1.1.7.3,Canada,"Total, 15 years and over",Both sexes,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116319029,0.8,
1.1.1.7.4,Canada,"Total, 15 years and over",Both sexes,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116319030,1.3,
1.1.2.1.1,Canada,"Total, 15 years and over",Male,"Total, job satisfaction",Number of persons,Persons,thousands,v116319031,7889.0,
1.1.2.1.2,Canada,"Total, 15 years and over",Male,"Total, job satisfaction",Percentage of persons,Percent,units ,v116319032,100.0,
1.1.2.1.3,Canada,"Total, 15 years and over",Male,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116319033,100.0,
1.1.2.1.4,Canada,"Total, 15 years and over",Male,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116319034,100.0,
1.1.2.8.1,Canada,"Total, 15 years and over",Male,Very satisfied or satisfied,Number of persons,Persons,thousands,v116747333,6530.0,
1.1.2.8.2,Canada,"Total, 15 years and over",Male,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116747334,82.8,
1.1.2.8.3,Canada,"Total, 15 years and over",Male,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116747335,81.1,
1.1.2.8.4,Canada,"Total, 15 years and over",Male,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116747336,84.3,
1.1.2.2.1,Canada,"Total, 15 years and over",Male,Very satisfied,Number of persons,Persons,thousands,v116319035,2671.0,
1.1.2.2.2,Canada,"Total, 15 years and over",Male,Very satisfied,Percentage of persons,Percent,units ,v116319036,33.9,
1.1.2.2.3,Canada,"Total, 15 years and over",Male,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319037,32.1,
1.1.2.2.4,Canada,"Total, 15 years and over",Male,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116319038,35.7,
1.1.2.3.1,Canada,"Total, 15 years and over",Male,Satisfied,Number of persons,Persons,thousands,v116319039,3858.0,
1.1.2.3.2,Canada,"Total, 15 years and over",Male,Satisfied,Percentage of persons,Percent,units ,v116319040,48.9,
1.1.2.3.3,Canada,"Total, 15 years and over",Male,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319041,46.9,
1.1.2.3.4,Canada,"Total, 15 years and over",Male,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116319042,50.9,
1.1.2.4.1,Canada,"Total, 15 years and over",Male,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116319043,805.0,
1.1.2.4.2,Canada,"Total, 15 years and over",Male,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116319044,10.2,
1.1.2.4.3,Canada,"Total, 15 years and over",Male,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319045,8.9,
1.1.2.4.4,Canada,"Total, 15 years and over",Male,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319046,11.6,
1.1.2.9.1,Canada,"Total, 15 years and over",Male,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116747337,484.0,
1.1.2.9.2,Canada,"Total, 15 years and over",Male,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116747338,6.1,
1.1.2.9.3,Canada,"Total, 15 years and over",Male,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116747339,5.2,
1.1.2.9.4,Canada,"Total, 15 years and over",Male,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116747340,7.2,
1.1.2.5.1,Canada,"Total, 15 years and over",Male,Dissatisfied,Number of persons,Persons,thousands,v116319047,359.0,
1.1.2.5.2,Canada,"Total, 15 years and over",Male,Dissatisfied,Percentage of persons,Percent,units ,v116319048,4.5,
1.1.2.5.3,Canada,"Total, 15 years and over",Male,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319049,3.7,
1.1.2.5.4,Canada,"Total, 15 years and over",Male,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319050,5.5,
1.1.2.6.1,Canada,"Total, 15 years and over",Male,Very dissatisfied,Number of persons,Persons,thousands,v116319051,126.0,
1.1.2.6.2,Canada,"Total, 15 years and over",Male,Very dissatisfied,Percentage of persons,Percent,units ,v116319052,1.6,
1.1.2.6.3,Canada,"Total, 15 years and over",Male,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319053,1.2,
1.1.2.6.4,Canada,"Total, 15 years and over",Male,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319054,2.1,
1.1.2.7.1,Canada,"Total, 15 years and over",Male,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116319055,70.0,E
1.1.2.7.2,Canada,"Total, 15 years and over",Male,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116319056,0.9,E
1.1.2.7.3,Canada,"Total, 15 years and over",Male,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116319057,0.6,
1.1.2.7.4,Canada,"Total, 15 years and over",Male,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116319058,1.3,
1.1.3.1.1,Canada,"Total, 15 years and over",Female,"Total, job satisfaction",Number of persons,Persons,thousands,v116319059,7278.0,
1.1.3.1.2,Canada,"Total, 15 years and over",Female,"Total, job satisfaction",Percentage of persons,Percent,units ,v116319060,100.0,
1.1.3.1.3,Canada,"Total, 15 years and over",Female,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116319061,100.0,
1.1.3.1.4,Canada,"Total, 15 years and over",Female,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116319062,100.0,
1.1.3.8.1,Canada,"Total, 15 years and over",Female,Very satisfied or satisfied,Number of persons,Persons,thousands,v116747341,6201.0,
1.1.3.8.2,Canada,"Total, 15 years and over",Female,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116747342,85.2,
1.1.3.8.3,Canada,"Total, 15 years and over",Female,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116747343,83.6,
1.1.3.8.4,Canada,"Total, 15 years and over",Female,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116747344,86.6,
1.1.3.2.1,Canada,"Total, 15 years and over",Female,Very satisfied,Number of persons,Persons,thousands,v116319063,2509.0,
1.1.3.2.2,Canada,"Total, 15 years and over",Female,Very satisfied,Percentage of persons,Percent,units ,v116319064,34.5,
1.1.3.2.3,Canada,"Total, 15 years and over",Female,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319065,32.6,
1.1.3.2.4,Canada,"Total, 15 years and over",Female,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116319066,36.4,
1.1.3.3.1,Canada,"Total, 15 years and over",Female,Satisfied,Number of persons,Persons,thousands,v116319067,3691.0,
1.1.3.3.2,Canada,"Total, 15 years and over",Female,Satisfied,Percentage of persons,Percent,units ,v116319068,50.7,
1.1.3.3.3,Canada,"Total, 15 years and over",Female,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319069,48.7,
1.1.3.3.4,Canada,"Total, 15 years and over",Female,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116319070,52.7,
1.1.3.4.1,Canada,"Total, 15 years and over",Female,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116319071,605.0,
1.1.3.4.2,Canada,"Total, 15 years and over",Female,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116319072,8.3,
1.1.3.4.3,Canada,"Total, 15 years and over",Female,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319073,7.3,
1.1.3.4.4,Canada,"Total, 15 years and over",Female,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319074,9.5,
1.1.3.9.1,Canada,"Total, 15 years and over",Female,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116747345,388.0,
1.1.3.9.2,Canada,"Total, 15 years and over",Female,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116747346,5.3,
1.1.3.9.3,Canada,"Total, 15 years and over",Female,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116747347,4.5,
1.1.3.9.4,Canada,"Total, 15 years and over",Female,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116747348,6.3,
1.1.3.5.1,Canada,"Total, 15 years and over",Female,Dissatisfied,Number of persons,Persons,thousands,v116319075,305.0,
1.1.3.5.2,Canada,"Total, 15 years and over",Female,Dissatisfied,Percentage of persons,Percent,units ,v116319076,4.2,
1.1.3.5.3,Canada,"Total, 15 years and over",Female,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319077,3.4,
1.1.3.5.4,Canada,"Total, 15 years and over",Female,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319078,5.1,
1.1.3.6.1,Canada,"Total, 15 years and over",Female,Very dissatisfied,Number of persons,Persons,thousands,v116319079,83.0,E
1.1.3.6.2,Canada,"Total, 15 years and over",Female,Very dissatisfied,Percentage of persons,Percent,units ,v116319080,1.1,E
1.1.3.6.3,Canada,"Total, 15 years and over",Female,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319081,0.8,
1.1.3.6.4,Canada,"Total, 15 years and over",Female,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319082,1.6,
1.1.3.7.1,Canada,"Total, 15 years and over",Female,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116319083,84.0,E
1.1.3.7.2,Canada,"Total, 15 years and over",Female,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116319084,1.2,E
1.1.3.7.3,Canada,"Total, 15 years and over",Female,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116319085,0.8,
1.1.3.7.4,Canada,"Total, 15 years and over",Female,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116319086,1.7,
1.2.1.1.1,Canada,15 to 24 years,Both sexes,"Total, job satisfaction",Number of persons,Persons,thousands,v116319087,2000.0,
1.2.1.1.2,Canada,15 to 24 years,Both sexes,"Total, job satisfaction",Percentage of persons,Percent,units ,v116319088,100.0,
1.2.1.1.3,Canada,15 to 24 years,Both sexes,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116319089,100.0,
1.2.1.1.4,Canada,15 to 24 years,Both sexes,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116319090,100.0,
1.2.1.8.1,Canada,15 to 24 years,Both sexes,Very satisfied or satisfied,Number of persons,Persons,thousands,v116747349,1557.0,
1.2.1.8.2,Canada,15 to 24 years,Both sexes,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116747350,77.9,
1.2.1.8.3,Canada,15 to 24 years,Both sexes,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116747351,73.4,
1.2.1.8.4,Canada,15 to 24 years,Both sexes,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116747352,81.8,
1.2.1.2.1,Canada,15 to 24 years,Both sexes,Very satisfied,Number of persons,Persons,thousands,v116319091,494.0,
1.2.1.2.2,Canada,15 to 24 years,Both sexes,Very satisfied,Percentage of persons,Percent,units ,v116319092,24.7,
1.2.1.2.3,Canada,15 to 24 years,Both sexes,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319093,20.9,
1.2.1.2.4,Canada,15 to 24 years,Both sexes,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116319094,29.0,
1.2.1.3.1,Canada,15 to 24 years,Both sexes,Satisfied,Number of persons,Persons,thousands,v116319095,1063.0,
1.2.1.3.2,Canada,15 to 24 years,Both sexes,Satisfied,Percentage of persons,Percent,units ,v116319096,53.2,
1.2.1.3.3,Canada,15 to 24 years,Both sexes,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319097,48.1,
1.2.1.3.4,Canada,15 to 24 years,Both sexes,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116319098,58.1,
1.2.1.4.1,Canada,15 to 24 years,Both sexes,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116319099,297.0,
1.2.1.4.2,Canada,15 to 24 years,Both sexes,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116319100,14.8,
1.2.1.4.3,Canada,15 to 24 years,Both sexes,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319101,11.5,
1.2.1.4.4,Canada,15 to 24 years,Both sexes,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319102,18.9,
1.2.1.9.1,Canada,15 to 24 years,Both sexes,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116747353,123.0,E
1.2.1.9.2,Canada,15 to 24 years,Both sexes,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116747354,6.1,E
1.2.1.9.3,Canada,15 to 24 years,Both sexes,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116747355,4.1,
1.2.1.9.4,Canada,15 to 24 years,Both sexes,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116747356,9.0,
1.2.1.5.1,Canada,15 to 24 years,Both sexes,Dissatisfied,Number of persons,Persons,thousands,v116319103,89.0,E
1.2.1.5.2,Canada,15 to 24 years,Both sexes,Dissatisfied,Percentage of persons,Percent,units ,v116319104,4.5,E
1.2.1.5.3,Canada,15 to 24 years,Both sexes,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319105,2.8,
1.2.1.5.4,Canada,15 to 24 years,Both sexes,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319106,7.2,
1.2.1.6.1,Canada,15 to 24 years,Both sexes,Very dissatisfied,Number of persons,Persons,thousands,v116319107,,F
1.2.1.6.2,Canada,15 to 24 years,Both sexes,Very dissatisfied,Percentage of persons,Percent,units ,v116319108,,F
1.2.1.6.3,Canada,15 to 24 years,Both sexes,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319109,,F
1.2.1.6.4,Canada,15 to 24 years,Both sexes,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319110,,F
1.2.1.7.1,Canada,15 to 24 years,Both sexes,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116319111,,F
1.2.1.7.2,Canada,15 to 24 years,Both sexes,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116319112,,F
1.2.1.7.3,Canada,15 to 24 years,Both sexes,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116319113,,F
1.2.1.7.4,Canada,15 to 24 years,Both sexes,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116319114,,F
1.2.2.1.1,Canada,15 to 24 years,Male,"Total, job satisfaction",Number of persons,Persons,thousands,v116319115,982.0,
1.2.2.1.2,Canada,15 to 24 years,Male,"Total, job satisfaction",Percentage of persons,Percent,units ,v116319116,100.0,
1.2.2.1.3,Canada,15 to 24 years,Male,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116319117,100.0,
1.2.2.1.4,Canada,15 to 24 years,Male,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116319118,100.0,
1.2.2.8.1,Canada,15 to 24 years,Male,Very satisfied or satisfied,Number of persons,Persons,thousands,v116747357,747.0,
1.2.2.8.2,Canada,15 to 24 years,Male,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116747358,76.1,
1.2.2.8.3,Canada,15 to 24 years,Male,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116747359,69.3,
1.2.2.8.4,Canada,15 to 24 years,Male,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116747360,81.8,
1.2.2.2.1,Canada,15 to 24 years,Male,Very satisfied,Number of persons,Persons,thousands,v116319119,244.0,
1.2.2.2.2,Canada,15 to 24 years,Male,Very satisfied,Percentage of persons,Percent,units ,v116319120,24.9,
1.2.2.2.3,Canada,15 to 24 years,Male,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319121,19.4,
1.2.2.2.4,Canada,15 to 24 years,Male,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116319122,31.3,
1.2.2.3.1,Canada,15 to 24 years,Male,Satisfied,Number of persons,Persons,thousands,v116319123,503.0,
1.2.2.3.2,Canada,15 to 24 years,Male,Satisfied,Percentage of persons,Percent,units ,v116319124,51.2,
1.2.2.3.3,Canada,15 to 24 years,Male,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319125,44.1,
1.2.2.3.4,Canada,15 to 24 years,Male,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116319126,58.3,
1.2.2.4.1,Canada,15 to 24 years,Male,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116319127,156.0,E
1.2.2.4.2,Canada,15 to 24 years,Male,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116319128,15.8,E
1.2.2.4.3,Canada,15 to 24 years,Male,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319129,11.2,
1.2.2.4.4,Canada,15 to 24 years,Male,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319130,21.9,
1.2.2.9.1,Canada,15 to 24 years,Male,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116747361,70.0,E
1.2.2.9.2,Canada,15 to 24 years,Male,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116747362,7.1,E
1.2.2.9.3,Canada,15 to 24 years,Male,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116747363,4.1,
1.2.2.9.4,Canada,15 to 24 years,Male,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116747364,12.0,
1.2.2.5.1,Canada,15 to 24 years,Male,Dissatisfied,Number of persons,Persons,thousands,v116319131,,F
1.2.2.5.2,Canada,15 to 24 years,Male,Dissatisfied,Percentage of persons,Percent,units ,v116319132,,F
1.2.2.5.3,Canada,15 to 24 years,Male,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319133,,F
1.2.2.5.4,Canada,15 to 24 years,Male,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319134,,F
1.2.2.6.1,Canada,15 to 24 years,Male,Very dissatisfied,Number of persons,Persons,thousands,v116319135,,F
1.2.2.6.2,Canada,15 to 24 years,Male,Very dissatisfied,Percentage of persons,Percent,units ,v116319136,,F
1.2.2.6.3,Canada,15 to 24 years,Male,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319137,,F
1.2.2.6.4,Canada,15 to 24 years,Male,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319138,,F
1.2.2.7.1,Canada,15 to 24 years,Male,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116319139,,F
1.2.2.7.2,Canada,15 to 24 years,Male,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116319140,,F
1.2.2.7.3,Canada,15 to 24 years,Male,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116319141,,F
1.2.2.7.4,Canada,15 to 24 years,Male,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116319142,,F
1.2.3.1.1,Canada,15 to 24 years,Female,"Total, job satisfaction",Number of persons,Persons,thousands,v116319143,1017.0,
1.2.3.1.2,Canada,15 to 24 years,Female,"Total, job satisfaction",Percentage of persons,Percent,units ,v116319144,100.0,
1.2.3.1.3,Canada,15 to 24 years,Female,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116319145,100.0,
1.2.3.1.4,Canada,15 to 24 years,Female,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116319146,100.0,
1.2.3.8.1,Canada,15 to 24 years,Female,Very satisfied or satisfied,Number of persons,Persons,thousands,v116747365,810.0,
1.2.3.8.2,Canada,15 to 24 years,Female,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116747366,79.6,
1.2.3.8.3,Canada,15 to 24 years,Female,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116747367,73.3,
1.2.3.8.4,Canada,15 to 24 years,Female,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116747368,84.7,
1.2.3.2.1,Canada,15 to 24 years,Female,Very satisfied,Number of persons,Persons,thousands,v116319147,250.0,
1.2.3.2.2,Canada,15 to 24 years,Female,Very satisfied,Percentage of persons,Percent,units ,v116319148,24.6,
1.2.3.2.3,Canada,15 to 24 years,Female,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319149,19.6,
1.2.3.2.4,Canada,15 to 24 years,Female,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116319150,30.4,
1.2.3.3.1,Canada,15 to 24 years,Female,Satisfied,Number of persons,Persons,thousands,v116319151,560.0,
1.2.3.3.2,Canada,15 to 24 years,Female,Satisfied,Percentage of persons,Percent,units ,v116319152,55.0,
1.2.3.3.3,Canada,15 to 24 years,Female,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319153,48.0,
1.2.3.3.4,Canada,15 to 24 years,Female,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116319154,61.9,
1.2.3.4.1,Canada,15 to 24 years,Female,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116319155,141.0,E
1.2.3.4.2,Canada,15 to 24 years,Female,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116319156,13.9,E
1.2.3.4.3,Canada,15 to 24 years,Female,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319157,9.6,
1.2.3.4.4,Canada,15 to 24 years,Female,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319158,19.6,
1.2.3.9.1,Canada,15 to 24 years,Female,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116747369,53.0,E
1.2.3.9.2,Canada,15 to 24 years,Female,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116747370,5.2,E
1.2.3.9.3,Canada,15 to 24 years,Female,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116747371,2.9,
1.2.3.9.4,Canada,15 to 24 years,Female,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116747372,9.2,
1.2.3.5.1,Canada,15 to 24 years,Female,Dissatisfied,Number of persons,Persons,thousands,v116319159,,F
1.2.3.5.2,Canada,15 to 24 years,Female,Dissatisfied,Percentage of persons,Percent,units ,v116319160,,F
1.2.3.5.3,Canada,15 to 24 years,Female,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319161,,F
1.2.3.5.4,Canada,15 to 24 years,Female,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319162,,F
1.2.3.6.1,Canada,15 to 24 years,Female,Very dissatisfied,Number of persons,Persons,thousands,v116319163,,F
